location,date,old_cases
Albania,2020-07-26,4763
Albania,2020-07-27,4880
Albania,2020-07-28,4997
Albania,2020-07-29,5105
Albania,2020-07-30,5197
Albania,2020-07-31,5276
Albania,2020-08-01,5396
Albania,2020-08-02,5519
Albania,2020-08-03,5620
Albania,2020-08-04,5750
Albania,2020-08-05,5889
Albania,2020-08-06,6016
Albania,2020-08-07,6151
Albania,2020-08-08,6275
Albania,2020-08-09,6411
Albania,2020-08-10,6536
Albania,2020-08-11,6676
Albania,2020-08-12,6817
Albania,2020-08-13,6971
Albania,2020-08-14,7117
Albania,2020-08-15,7260
Albania,2020-08-16,7380
Albania,2020-08-17,7499
Albania,2020-08-18,7654
Albania,2020-08-19,7812
Albania,2020-08-20,7967
Albania,2020-08-21,8119
Albania,2020-08-22,8275
Albania,2020-08-23,8427
Albania,2020-08-24,8605
Albania,2020-08-25,8759
Albania,2020-08-26,8927
Albania,2020-08-27,9083
